DATE,actual,predictions,diff
2021-06-27,78.0,94.39867233563048,16.39867233563048
2022-06-03,85.0,92.35068048150832,7.35068048150832
2019-02-02,69.0,85.24717798527287,16.24717798527287
2021-06-06,89.0,90.96600192549641,1.966001925496414
2022-12-08,99.0,87.52000637537965,11.479993624620349
2019-09-14,78.0,89.06029226137295,11.06029226137295
2018-01-10,91.0,95.03731709263984,4.037317092639839
2020-02-26,69.0,76.52720968259828,7.527209682598283
2018-12-16,72.0,81.94950273654516,9.949502736545156
2019-03-27,100.0,95.39434450909206,4.605655490907935
2021-08-16,93.0,93.57996063833536,0.5799606383353648
2022-10-03,92.0,78.20985238195686,13.790147618043136
2021-11-28,83.0,84.01657091232833,1.0165709123283335
2021-09-11,87.0,88.72487156922742,1.7248715692274175
2021-02-14,89.0,87.74895285940022,1.2510471405997805
2022-09-17,86.0,91.33045855968251,5.330458559682512
2020-09-22,88.0,89.90737985215281,1.9073798521528147
2022-08-06,95.0,93.23907427952335,1.7609257204766493
2022-05-26,92.0,95.44917113129289,3.4491711312928857
2021-02-26,87.0,87.45610774766935,0.4561077476693498
2018-05-29,94.0,106.85816730454468,12.85816730454468
2022-10-07,76.0,94.57461097815153,18.574610978151526
2021-02-23,81.0,84.86460901955981,3.8646090195598077
2019-09-12,88.0,87.21086659868058,0.7891334013194182
2022-03-11,86.0,90.06852817339934,4.0685281733993435
2020-12-17,60.0,78.12127975609656,18.121279756096556
2020-04-08,94.0,101.31635390924487,7.316353909244867
2020-02-04,101.0,93.31729167501929,7.682708324980709
2021-06-03,97.0,87.83199067705586,9.168009322944144
2022-12-10,85.0,87.47543766320177,2.475437663201774
2019-04-11,87.0,88.54564912084388,1.5456491208438763
2020-01-08,87.0,87.56360729197347,0.5636072919734687
2019-03-11,92.0,89.90328390122431,2.096716098775687
2021-04-23,90.0,75.44987709157233,14.550122908427667
2018-02-04,97.0,94.31411134443198,2.6858886555680215
2019-07-06,95.0,103.8165963915302,8.816596391530197
2019-05-16,94.0,92.8965567291607,1.103443270839307
2021-10-11,89.0,88.33157360701769,0.6684263929823118
2021-09-16,81.0,91.49881741206352,10.498817412063516
2022-05-10,89.0,95.49647995465439,6.49647995465439
2019-07-01,82.0,82.95661379381174,0.9566137938117407
2018-07-15,97.0,97.4368136768825,0.43681367688249395
2022-01-05,95.0,103.13883740955015,8.138837409550149
2018-07-17,89.0,89.48943074371296,0.48943074371295836
2022-11-23,90.0,89.74154746360509,0.2584525363949126
2021-01-04,102.0,96.90058870072366,5.0994112992763405
2019-03-25,81.0,91.79653059588883,10.796530595888825
2021-10-15,92.0,90.74796944138458,1.2520305586154166
2018-12-03,81.0,90.03440562997154,9.034405629971545
2022-11-22,90.0,87.57318104348664,2.426818956513358
2021-06-19,104.0,98.01779663213861,5.982203367861388
2019-08-19,85.0,97.05605360826938,12.05605360826938
2022-07-21,86.0,86.73059959395087,0.7305995939508705
2019-02-03,82.0,83.93957364556148,1.939573645561481
2021-06-14,89.0,93.85868040474047,4.858680404740468
2021-08-26,92.0,92.55801705562854,0.5580170556285395
2018-11-01,94.0,79.44777686292163,14.552223137078371
2020-05-30,92.0,93.48127507444413,1.4812750744441274
2018-05-13,100.0,97.85561890927593,2.1443810907240675
2019-06-08,67.0,93.98333068687022,26.983330686870218
2020-03-02,80.0,86.20028965745307,6.2002896574530695
2021-11-13,86.0,87.0853380024732,1.0853380024731933
2020-12-28,71.0,76.5085206199193,5.508520619919295
2019-11-14,85.0,87.19647598630397,2.196475986303966
2021-07-29,89.0,91.05422667885055,2.0542266788505543
2020-09-10,98.0,96.03272822655647,1.967271773443528
2018-05-20,101.0,97.63229779664977,3.367702203350234
2019-03-21,93.0,91.70251951861269,1.2974804813873106
2019-12-14,83.0,85.48136077837296,2.4813607783729594
2020-06-27,94.0,93.19828726576256,0.8017127342374408
2019-04-18,108.0,93.66417042224562,14.335829577754382
2020-01-19,66.0,74.92336456541487,8.923364565414872
2021-07-06,103.0,96.01546237146155,6.9845376285384475
2019-08-17,86.0,87.94374256093604,1.9437425609360446
2021-08-05,101.0,97.03115450576365,3.968845494236348
2020-10-04,102.0,96.98383889761443,5.016161102385567
2021-07-23,98.0,93.60317672073194,4.396823279268062
2018-11-24,87.0,90.46125571810788,3.4612557181078785
2021-01-30,88.0,87.40874251830367,0.5912574816963314
2021-10-21,92.0,92.16121523538195,0.16121523538194538
2021-07-12,75.0,84.5617221705653,9.561722170565304
2019-03-25,99.0,88.80742152889441,10.192578471105591
2020-06-11,97.0,83.0146217244664,13.985378275533606
2022-08-19,86.0,85.4338743858423,0.5661256141576985
2021-06-05,74.0,80.19208075249897,6.192080752498967
2021-11-03,94.0,92.66191891124684,1.3380810887531567
2018-06-02,86.0,86.72733474326445,0.7273347432644499
2018-07-05,106.0,99.32608716186985,6.67391283813015
2018-10-13,93.0,92.83738380083318,0.1626161991668198
2021-11-07,90.0,91.24706485349142,1.2470648534914233
2019-05-26,78.0,93.10900624659271,15.109006246592713
2022-05-26,91.0,88.44383546763655,2.5561645323634536
2020-12-13,88.0,83.40168708360534,4.598312916394661
2018-10-01,77.0,80.81576196076227,3.8157619607622735
2021-05-06,97.0,97.1870041068611,0.18700410686109592
2019-01-09,98.0,90.0413483534554,7.958651646544595
2019-04-07,98.0,85.76733023557236,12.23266976442764
2019-03-20,85.0,86.87465228855514,1.87465228855514
2022-10-07,91.0,97.1206705107491,6.120670510749093
2021-10-26,86.0,87.13359759557831,1.1335975955783084
2022-05-26,72.0,96.27499683104,24.27499683104
